的	白勺
犇	三牛
伝	人云
鱘	魚彐工口寸
諟	言是
庠	广羊
慳	心臣又土
慟	心重力
葙	艸木目
杈	木又丶
砧	石占
蛉	虫令
蟀	虫玄⺍十
咭	口吉
嚙	口齒
飫	食丿大
鈰	金市
惕	心易
惘	心网亡
惦	心广占
潦	水尞
窠	穴果
裨	衤卑
迨	辵台
矸	石干
贗	厂人鳥貝
蜓	虫廴𡈼
嘵	口堯
唚	口彐冂又
餼	食气米
褻	衣坴丮
袞	衣公
懍	心㐭禾
褔	衤畐
蚩	之虫
櫱	屮㠯辛木
殯	歹宀一㐄貝
耒	耒
芄	艸丮
榷	木冂隹
奄	大电
碚	石咅
喑	口音
鋨	金我
繇	肉缶丿糸
裾	衤尸古
窈	穴幺力
豉	豆支
箌	竹至刀
讜	言尚黑
劾	亥力
憧	心童
裑	衤身
裼	衤易
孿	䜌子
嫠	未攴厂女
琇	王禾乃
荏	艸人壬
蘢	艸龍
杪	木少
榔	木良邑
隹	隹
餳	食昜
鉺	金耳
鎌	金兼
旆	㫃巿
癇	疒門月
燧	火辵八豕
遑	辵皇
橐	一中冂石木
圪	土乞
嗇	嗇
駢	馬并
藪	艸婁攴
芃	艸凡
槭	木戌卜小
棰	木垂
噥	口曲辰
嗥	口白大十
峴	山見
岣	山勹口
佉	人去
魈	鬼小月
頎	斤頁
鏌	金莫
颼	風申又
詵	言先
諢	言冂車
覚	⺍冂見
瀬	水束頁
珥	王耳
駟	馬四
茤	艸多
砭	石丿之
碓	石隹
蟑	虫章
蚓	虫弓丨
嗵	口辵甬
嵴	山脊
憩	舌自心
俁	人吳
臚	月虎田皿
昝	夂卜日
隗	阜鬼
繾	糸辵臾㠯
紉	糸刀丶
壊	土十四衣
琚	王尸古
葫	艸古月
鞣	革矛木
顴	雚頁
蕕	艸犬酋
醴	酉曲豆
饜	厂日月犬食
齠	齒刀口
顒	禺頁
嘗	尚旨
嵛	山俞
牯	牛古
簟	竹覃
笮	竹乍
囪	囪
儈	人會
鷂	肉缶鳥
譲	言襄
麝	鹿身寸
沌	水屯
勰	三力田心
婀	女阜可
縞	糸高
瑁	王冃目
綦	其糸
齷	齒尸至
喋	口世木
躋	足齊
瓴	令瓦
毖	比必
悽	心一尹女
愫	心素
悚	心束
搴	寒手
搴	塞手
朶	乃木
増	土曾
菋	艸口未
驀	莫馬
醪	酉羽人彡
囀	口車專
趿	足及
蹌	足倉
嗍	口屰月
杲	日木
暘	日昜
骷	骨古
爨	𦥑同冂林大火
羸	贏羊
誶	言卒
廄	广艮殳
瀲	水僉攴
攫	扌目目隹又
茼	艸同
齜	齒止匕
圜	圍睘
秣	禾末
僭	人旡旡日
囟	囟
鑭	金門柬
鰳	魚革力
鰨	魚日羽
慊	心兼
媯	女爲
鞀	革刀口
樅	木行从止
団	圍寸
罌	貝貝缶
儔	人壽
羶	羊㐭旦
汨	水日
閼	門於
閽	門氏日
閡	門亥
譬	尸口辛言
縹	糸西示
摒	扌尸并
齬	齒吾
嘧	口宀必山
嵬	山鬼
瞑	目冂日六
穡	禾嗇
氪	气克
笳	竹加
魃	鬼犮
佸	人舌
艉	舟尾
穌	魚禾
浯	水吾
溱	水廾禾
阡	阜千
璩	王虎豕
醮	酉隹火
硤	石大从
蠊	虫广兼
圉	圍幸
嚓	口宀肉又示
纍	三田糸
賙	貝周
豺	豸才
獐	犬章
旄	㫃毛
広	广厶
糝	米三厶人彡
泖	水卯
溏	水庚口
裉	衤艮
戸	戶
琺	王水去
芟	艸殳
棖	木長
柜	木巨
蚨	虫夫
蟶	虫耳口𡈼
俎	人人且
肫	月屯
糍	米䒑幺幺
槊	屰月木
涑	水束
涪	水咅
漉	水鹿
緄	糸日比
彗	丰丰彐
鞦	革禾火
莔	艸四冂
躉	萬足
櫪	木厂禾禾止
齔	齒匕
屾	山山
鶻	骨鳥
泱	水冂大
泫	水玄
鴆	冂儿鳥
帚	帚
埕	土口𡈼
珪	王圭
瑗	王爰
茁	艸出
檄	木白方攴
竽	竹于
稗	禾卑
佺	人全
鍆	金門
鯢	魚臼儿
戠	音戈
咨	二欠口
淀	水宀正
謇	寒言
謇	塞言
逖	辵犬火
羋	丨羊
靼	革旦
莋	艸人乍
唵	口大电
吩	口分
哞	口厶牛
羆	四能火
嶧	山睪
迤	辵𠂉也
秈	禾山
簞	竹單
佞	人二女
鉿	金合
艫	舟虎田皿
諉	言禾女
瘍	疒昜
憒	心臾貝
郯	炎邑
邋	辵巛鼠
闐	門真
孃	女襄
縊	糸益
垌	土同
璀	王山隹
芘	艸比
蹩	巾⺍攴足
昉	日方
鱈	魚雨彐
鮒	魚人寸
涿	水豕
鼐	乃鼎
戛	頁戈
髪	長彡𠂇又
瑀	王禹
驄	馬囪心
璣	王幺幺戈人
芨	艸及
蠓	虫艸冃豕
蚪	虫斗
吒	口乇
瞋	目真
毎	𠂉母
倥	人穴工
猓	犬果
頫	兆頁
褥	衤辰寸
嬖	尸口辛女
孀	女雨木目
縋	糸辵㠯
珣	王勹日
璘	王米舛
菠	艸水皮
卣	卜圍龴
嚶	口貝貝女
跚	足冊
嶷	山疑
牖	片戶甫
徨	行皇
鉄	金失
豸	豸
溧	水西木
寀	宀采
阱	阜井
愍	民攴心
皴	厶儿夂皮
撳	扌金欠
蘺	艸离隹
櫸	木與扌
磣	石三厶人彡
蠐	虫齊
咑	口扌丁
踔	足卓
黜	黑出
崍	山來
魎	鬼兩
偸	人俞
兗	亠公儿
淝	水月巴
鷸	矛内口鳥
続	糸士冂儿
梘	木見
虺	兀虫
磋	石差
蠛	虫艸四戈人
蠖	虫雈又
哃	口同
吽	口牛
徘	行非
粼	米舛巛
烊	火羊
紆	糸于
紈	糸丮
埗	土步
鄹	耳又从邑
瓁	王雈又
鸛	雚鳥
蓑	艸衣冄
酢	酉乍
醌	酉日比
樘	木尚土
楦	木宀二日
蜒	虫廴丿止
唲	口臼儿
咜	口它
彫	周彡
偲	人田心
鐿	金音心
胂	月申
忤	心午
潶	水黑
紜	糸云
艽	艸九
醭	酉业大
蜡	虫昔
蚝	虫毛
嚨	口龍
毬	毛求
鍖	金甚
鏍	金田糸
癜	疒尸共殳
沭	水术
滓	水宀辛
娌	女里
繒	糸曾
跫	巩足
鏊	敖金
葶	艸高丁
酞	酉太
榱	木衣冄
槨	木享邑
郟	大从邑
踴	足甬力
兎	兔
倳	人事
煳	火古月
嬛	女睘
嫚	女冃四又
驃	馬西示
柰	木示
桁	木行
蜱	虫卑
餚	食爻月
鯀	魚丿糸
郞	良邑
恫	心同
憔	心隹火
剡	炎刀
姫	女臣
彀	壳弓殳
珅	王申
萿	艸水舌
雹	雨勹巳
橄	木敢
匚	匚
蟛	虫壴彡
咴	口灰
噈	口京尤
冏	内口
髕	骨宀一㐄貝
値	人直
俶	人尗又
皚	白山豆
錈	金龹卩
遒	辵酋
畑	火田
衩	衤又丶
嬙	女嗇
媄	女羊大
圮	土己
耔	耒子
揆	扌癶天
苤	艸不一
苴	艸且
苻	艸人寸
婪	林女
櫫	豕者木
碉	石周
咼	咼
倬	人卓
饉	食堇
彳	行
譎	言矛内口
奘	爿士大
痱	疒非
疙	疒乞
浞	水足
湔	水前
潺	水尸三子
袷	衤合
爿	爿
鸝	麗鳥
驤	馬襄
覲	堇見
鄞	堇邑
蕗	艸足各
梶	木尾
邨	屯邑
鹺	鹵差
鼉	口口田一黽
鴰	舌鳥
伲	人尸匕
劬	勹口力
炤	火刀口
単	單
閶	門昌
恿	甬心
坍	土丹
垸	土宀元
鬟	長彡睘
耪	耒旁
芑	艸己
逋	辵甫
蚶	虫甘
曷	日勹亡
侈	人多
刖	月刀
獯	犬熏
觶	角單
鰍	魚禾火
旒	㫃𠫓巛
忖	心寸
惆	心周
閂	門一
邐	辵麗
鬮	鬥龜
驁	敖馬
掇	扌叕
鶘	古月鳥
鞫	革勹言
槲	木角斗
齟	齒且
噺	口立木斤
韙	是韋
冄	冄
鸚	貝貝女鳥
鉦	金正
鋟	金彐冂又
錙	金巛田
猗	犬大可
堃	方方土
沔	水丏
灕	水离隹
窨	穴音
厾	乙去
緦	糸田心
耄	耂毛
杴	木欠
蚵	虫可
蛄	虫古
蠣	虫厂萬
篦	竹囟比
俳	人非
錸	金來
鐐	金尞
獬	犬角刀牛
胝	月氐
礱	龍石
濉	水目隹
洺	水夕口
邃	辵穴八豕
屐	尸行支
経	糸又土
殄	歹人彡
瞽	壴支目
鷙	幸丮鳥
験	馬僉
蠆	萬虫
芴	艸勿
楝	木柬
鶇	東鳥
耷	大耳
曛	日熏
稹	禾真
氤	气圍大
込	辵人
臆	月音心
髙	高
埸	土易
拊	扌人寸
荑	艸大弓
芤	艸子乚
榧	木匚非
砑	石牙
垡	人戈土
倮	人果
徇	行勹日
鑷	金三耳
鑌	金宀一㐄貝
腆	月冊廾
胗	月人彡
瘢	疒舟殳
遨	辵敖
弢	弓屮又
緙	糸革
駑	女又馬
擤	扌鼻
匏	大亏勹巳
尷	尢監
蝴	虫古月
虼	虫乞
曈	日童
澩	𦥯水
餱	食人龴矢
粿	米果
渀	水奔
宄	宀九
隳	阜𠂇工月人心
堋	土朋
菹	艸水且
酐	酉干
櫳	木龍
哚	口几木
眭	目圭
鴦	冂大鳥
峰	山夂丰
侞	人女口
飩	食屯
餾	食卯田
銣	金女口
胛	月甲
腴	月臾
獰	犬宀心皿丁
詁	言古
諑	言豕
訃	言卜
疳	疒甘
癤	疒竹艮卩
惴	心山而
怺	心永
窕	穴兆
陟	阜步
悪	亞心
鼙	壴支卑
聵	耳臾貝
鴣	古鳥
蕈	艸覃
蘄	艸單斤
薺	艸齊
釅	酉口口厂敢
楂	木查
楫	木口耳
碭	石昜
戔	戔
呻	口申
叺	口人
咄	口出
崞	山享
嶗	山火火冂力
骼	骨各
籙	竹金彔
魍	鬼网亡
僉	僉
饅	食冃四又
餛	食日比
鍐	金乂凵儿夂
狎	犬甲
麾	麻毛
羝	羊氐
糲	米厂萬
憷	心林疋
煋	火日生
燚	四火
窣	穴卒
窸	穴釆心
褡	衤艸合
闍	門者
閞	門厶廾
嬗	女㐭旦
絵	糸會
邛	工邑
玎	王丁
瑚	王古月
琿	王冂車
玘	王己
茈	艸止匕
藎	艸盡
椐	木尸古
螞	虫馬
蜘	虫矢口
嗉	口素
唁	口言
躚	足辵西大卩
筮	竹工从
箜	竹穴工
瓮	公瓦
鈸	金犮
錮	金圍古
鍤	金臿
鯁	魚更
鰱	魚辵車
粳	米更
遄	辵山而
裰	衤叕
鞴	革𤰇
蘩	艸每攴糸
麩	來夂夫
碲	石帝
觜	止匕角
跏	足加
唎	口禾刀
崚	山夌
仵	人午
歙	合羽欠
鏇	金㫃疋
諄	言享
竜	立电
蠲	益蜀
粞	米西
湢	水畐
涳	水穴工
蟊	矛虫虫
媲	女囟比
緱	糸人龴矢
繅	糸巛果
盍	去皿
扦	扌千
萵	艸咼
菪	艸宀石
棱	木夌
輳	車廾天
蛞	虫舌
笤	竹刀口
傀	人鬼
飪	食壬
胭	月圍大
謄	朕言
殳	殳
旮	九日
悻	心幸
巛	巛
埝	土今心
圯	土巳
栲	木耂丂
朮	术
榊	木示申
砹	石艸乂
図	圍冫乂
跣	足先
邾	朱邑
氚	气巛
俷	人月巴
譕	言無
瓿	咅瓦
潢	水黃
漷	水享邑
辶	辵
禳	示襄
鬻	弓米弓鬲
綆	糸更
彘	彑匕矢匕
殛	歹亟
堊	亞土
琵	王王比
頊	王頁
拮	扌吉
枡	木升
砟	石乍
骱	骨介
笸	竹匚口
頷	今口頁
鋃	金良
狻	犬厶儿夂
鴇	匕十鳥
鴟	氐鳥
邙	亡邑
悌	心弟
淠	水田几
嫫	女莫
妣	女比
餮	歹人彡食
赳	走丩
埽	土帚
圾	土及
荖	艸耂
薅	艸女辰寸
樗	木雨亏
柞	木乍
欹	大可欠
蠼	虫目目隹又
跆	足台
嗐	口宀丰口
黙	里犬火
嵯	山差
牝	牛匕
怹	人也心
鏑	金帝口
瘛	疒丰刀心
巻	龹己
懌	心睪
瀞	水青爪尹
漵	水余攴
漈	水肉又示
滂	水旁
繻	糸雨而
糶	出米羽隹
嫘	女田糸
橛	木厂屰欠
骺	骨后
笊	竹爪
倀	人長
倜	人周
皈	白反
鈳	金可
鯛	魚周
怙	心古
滹	水虎乎
蔠	艸糸冬
撃	車殳手
槁	木高
酃	雨口口口邑
奩	大匚三口
鴯	而鳥
郾	匚日女邑
畋	田攴
髀	骨卑
穰	禾襄
獗	犬厂屰欠
謅	言勹屮勹屮
癭	疒貝貝女
羰	羊山灰
愴	心倉
窬	穴俞
嬿	女燕
砉	丰石
抉	扌夬
莩	艸爪子
迣	辵世
柩	木匚久
蚰	虫由
螳	虫尚土
蛑	虫厶牛
咆	口勹巳
篋	竹匚大从
価	人西
翕	合羽
郄	爻厶邑
朐	月勹口
夤	夕寅
窳	穴瓜瓜
劼	吉力
踅	扌斤足
蘧	艸辵虎豕
杼	木予
磽	石堯
鳪	卜鳥
蚋	虫内
跗	足人寸
侔	人厶牛
艚	舟曹
郇	勹日邑
裎	衤口𡈼
冢	冂豕
陔	阜亥
埵	土垂
瑭	王庚口
醺	酉熏
喟	口田月
咐	口人寸
蜚	非虫
旯	日九
嶙	山米舛
甥	生田力
篾	竹四戈人
皤	白釆田
敫	白方攴
鵜	弟鳥
洄	水回
裟	水少衣
弭	弓耳
媾	女冓
緡	糸民日
莨	艸良
櫺	木雨口口口
霹	雨尸口辛
邳	不一邑
蟪	虫專心
歳	止戌小
蚣	虫公
跎	足它
呉	吳
嶝	山癶豆
嶁	山婁
郃	合邑
貘	豸莫
読	言士冂儿
紶	糸去
婞	女幸
靑	青
苾	艸必
霑	雨水占
蝽	虫春
犧	牛羊禾戈丂
恂	心勹日
夬	夬
翮	鬲羽
両	兩
邴	丙邑
玠	王介
蕤	艸豕生
鷯	尞鳥
蚱	虫乍
趵	足勺
帰	刀帚
罟	四古
矍	目目隹又
峋	山勹日
嶋	山鳥
髏	骨婁
嚳	𦥯告
皁	白十
齎	齊貝
萆	艸卑
槔	木白大十
磴	石癶豆
蟣	虫幺幺戈人
畛	田人彡
岈	山牙
犍	牛廴聿
釤	金彡
臃	月亠乡隹
譖	言旡旡日
廛	广里八土
愎	心复
茚	艸爪卩
軛	車厂卩
匴	匚竹具
曩	日襄
暾	日享攴
罱	四南
岵	山古
畬	余田
粢	二欠米
庀	广匕
湎	水面
鐾	尸口辛金
総	糸公心
炱	台火
墻	土嗇
摜	扌串貝
苜	艸目
硨	石車
錁	金果
窆	穴丿之
聴	耳十四心
瑠	王卯田
搧	扌戶羽
藿	艸雨隹
薱	艸业一寸
葰	艸人厶儿夂
茭	艸交
菑	艸巛田
霎	雨立女
蛺	虫大从
蜿	虫宀夕卩
昃	日厂人
簸	竹其皮
佹	人𠂊厂卩
儕	人齊
剣	僉刀
艋	舟子皿
齏	齊韭
鶿	䒑幺幺鳥
炆	火文
惋	心宀夕卩
湓	水分皿
褆	衤是
蓁	艸廾禾
萣	艸宀正
柊	木冬
泅	水圍人
紱	糸犮
擯	扌宀一㐄貝
搡	扌三又木
帯	帶
酹	酉爪寸
雩	雨亏
靂	雨厂禾禾止
兕	凹儿
帙	巾失
簌	竹束欠
穂	禾專心
僂	人婁
鄱	釆田邑
獍	犬音儿
廩	广㐭禾
瀠	水火火冂糸
韝	韋冓
顙	三又木頁
綈	糸弟
堝	土咼
辻	辵十
蔵	艸戊臣
晷	日夂卜口
筇	竹工邑
賃	人壬貝
鐙	金癶豆
脒	月米
炻	火石
泔	水甘
専	專
墀	土尾牛
挈	丰刀手
玹	王玄
騅	馬隹
嘏	古叚
蓽	艸畢
転	車云
弍	弋二
蟯	虫堯
圏	圍龹己
豊	曲豆
衄	血丑
儻	人尚黑
狆	犬中
痤	疒从土
塋	火火冂土
煢	火火冂飛
惇	心享
溲	水申又
鷚	羽人彡鳥
丌	几
掾	扌彑豕
萩	艸禾火
崤	山爻月
仃	人丁
倗	人朋
鈁	金方
艏	舟首
狷	犬口月
肷	月欠
鯖	魚青
麋	鹿米
逶	辵禾女
辺	辵刀
縲	糸田糸
絎	糸行
銎	巩金
鞔	革免
櫨	木虎田皿
瓠	大亏瓜
蚯	虫丘
圇	圍侖
圊	圍青
蹕	足畢
罨	四大电
簹	竹尚田
簋	竹艮皿
氘	气八
邉	辵自穴口
徦	行叚
艄	舟小月
煺	火辵艮
泚	水止匕
湝	水比白
褳	衤辵車
璠	王釆田
夼	大巛
蠕	虫雨而
蹼	足业大
暌	日癶天
眇	目少
儐	人宀一㐄貝
鈽	金布
釙	金卜
詆	言氐
馘	首戈口一
襦	衤雨而
遢	辵日羽
逡	辵厶儿夂
婼	女艸𠂇口
縟	糸辰寸
鬲	鬲
殫	歹單
螫	赤攴虫
騕	馬要
藶	艸厂禾禾止
酩	酉夕口
砘	石屯
戢	口耳戈
噦	口止戌㐄
躂	足達
跩	足电丿
旰	日干
篳	竹畢
鍑	金复
鎪	金申又
脳	月⺍乂凵
鴝	勹口鳥
応	广心
愬	屰月心
滎	火火冂水
濞	水鼻
窶	穴婁
穸	穴夕
弾	弓單
薍	艸𤔔乚
蔟	艸㫃矢
蕖	艸水巨木
硭	石艸亡
吲	口弓丨
氙	气山
璺	𦥑同冂玉
鷦	隹火鳥
徂	行且
錆	金青
刎	勿刀
燔	火釆田
洸	水光
瀵	水米田共
宬	宀成
綪	糸青
玦	王夬
蔞	艸婁
繋	車殳糸
榿	木山豆
硇	石囟
跬	足圭
牸	牛宀子
簑	竹衣冄
仮	人反
傛	人穴公
辵	辵
舾	舟西
颺	風昜
膾	月會
憮	心無
泐	水阜力
褸	衤婁
衽	衤壬
闘	門豆寸
擘	尸口辛手
綞	糸垂
縑	糸兼
鵡	戈止鳥
玢	王分
喥	口广廿又
笹	竹世
篔	竹員
餞	食戔
錟	金炎
舯	舟中
隈	阜畏
戞	頁戈
薤	艸歹韭
剽	西示刀
僰	朿朿人
枇	木比
砝	石去
劌	止戌㐄刀
蟈	虫圍戈口一
囹	圍令
罾	四曾
笓	竹比
佧	人上卜
俜	人由丂
仡	人乞
儋	人𠂊厂八言
舳	舟由
胙	月乍
愜	心匚大从
沬	水未
潒	水象
瀼	水襄
鄆	冂車邑
叚	叚
隠	阜爪彐心
垓	土亥
枸	木勹口
蝟	虫田月
秫	禾术
笶	竹矢
餑	食十冂子
愆	行水心
猊	犬臼儿
詛	言且
瘩	疒艸合
疥	疒介
迢	辵刀口
隰	阜日幺幺火
畚	厶大田
甏	壴彡瓦
堠	土人龴矢
醅	酉咅
椛	木艸化
輅	車各
梃	木廴𡈼
霊	雨二业
曌	日月穴工
舎	舍
涘	水厶矢
哿	加可
珙	王共
葚	艸甚
蒝	艸原
萑	艸隹
櫝	木士四貝
蚺	虫冄
螄	虫㠯一巾
蚍	虫比
嶇	山匚三口
幗	巾圍戈口一
筌	竹全
鵂	人木鳥
鴒	令鳥
謳	言匚三口
痌	疒同
愾	心气米
捯	扌至刀
摭	扌广廿火
葜	艸丰刀大
榦	倝木
藁	艸高木
醢	酉𠂇口皿
喞	口白匕卩
屼	山兀
烀	火乎
繴	尸口辛糸
紇	糸乞
絯	糸亥
坼	土斥
柟	木冄
巰	巠𠫓巛
鬯	鬯
鐠	金並日
鯃	魚吾
糅	米矛木
嫗	女匚三口
鬨	鬥共
嶅	敖山
騮	馬卯田
莠	艸禾乃
茳	艸水工
暁	日屮兀
偅	人重
錡	金大可
鏹	金弓厶虫
亀	龜
鶼	兼鳥
烜	火二日
湁	水扌合
袼	衤各
甓	尸口辛瓦
乸	也母
紾	糸人彡
螂	虫良邑
暹	辵日隹
帔	巾皮
佾	人八月
肜	月彡
胳	月各
瘠	疒脊
翥	者羽
聃	耳冄
髟	長彡
栢	木百
酡	酉它
櫧	木言者
杷	木巴
篠	竹人丨攴木
箛	竹子瓜
鋏	金大从
鐓	金享攴
凪	凡止
颶	風具
糀	米艸化
淰	水今心
滃	水公羽
済	水齊
湴	水並
鷥	糸糸鳥
琯	王宀㠯
卌	一二二
艨	舟艸冃豕
誃	言多
慄	心西木
鵓	十冂子鳥
薷	艸雨而
萢	艸水勹巳
楛	木艸古
櫬	木立木見
柁	木它
黠	黑吉
迕	辵午
観	雚見
稲	禾爪丨日
俓	人巠
鵯	卑鳥
偓	人尸至
鄯	善邑
悕	心爻巾
悩	心⺍乂凵
澪	水雨令
滏	水父王八
寛	宀艸見
襝	衤僉
険	阜僉
醵	酉虎豕
碣	石日勹亡
晡	日甫
矬	矢从土
篼	竹白卯儿
徉	行羊
舴	舟乍
鷄	爪幺大鳥
胩	月上卜
狒	犬弗
訳	言尺
麂	鹿几
忉	心刀
蓜	艸酉己
囔	口囊
躒	足白幺幺木
唦	口水少
噉	口敢
畎	田犬
乗	乘
毽	毛廴聿
脿	月表
忔	心乞
熸	火旡旡日
湉	水心舌
緶	糸人更
孌	䜌女
纛	丰母縣
荘	艸爿士
豳	豕豕山
幄	巾尸至
徼	行白方攴
猖	犬昌
鰩	魚肉缶
癍	疒王文王
悱	心非
湞	水貞
孱	尸三子
謦	声殳言
柙	木甲
雫	雨下
嚧	口虎田皿
瞠	目尚土
覬	山豆見
侏	人朱
戧	倉戈
効	交力
焜	火日比
屮	屮
坩	土甘
琤	王爪尹
菝	艸扌犮
茯	艸人犬
蒍	艸爲
蓿	艸宀人百
戡	甚戈
蜻	虫青
圄	圍吾
筘	竹扌口
簦	竹癶豆
僨	人屮貝
鍰	金爰
猾	犬骨
冲	冫中
戕	爿戈
痊	疒全
渫	水世木
洶	水勹乂凵
迹	辵亦
疋	疋
隍	阜皇
鬣	長彡巛鼠
耩	耒冓
駅	馬尺
抜	扌𠂇又
揺	扌爪干凵
蓶	艸口隹
茽	艸人中
蕹	艸亠乡隹
蓙	艸广从土
薬	艸白⺍木
槸	木坴丮
醍	酉是
轆	車鹿
麮	來夂去
桷	木角
歴	厂林止
尥	尢勺
噱	口虎豕
唿	口勿心
禸	禸
黝	黑幺力
缽	缶本
傕	人冂隹
従	行䒑止
敓	公儿攴
鋝	金爪寸
蠃	贏虫
庢	广至
瘞	疒大从土
痋	疒虫
燿	火羽隹
漃	水宀尗又
縌	糸辵屰
郷	乡
抔	扌不
椹	木甚
柢	木氐
呴	口勹口
蹉	足差
銭	金戔
鰥	魚四水
愔	心音
溻	水日羽
漯	水田糸
窀	穴屯
堔	土冂儿木
騸	馬戶羽
軹	車口八
貲	止匕貝
翾	睘羽
鐃	金堯
廋	广申又
鷓	广廿火鳥
痾	疒阜可
糢	米莫
惔	心炎
襘	衤會
陘	阜巠
紟	糸今
璵	王與
萋	艸一尹女
豨	豕爻巾
崦	山大电
坌	分土
鯧	魚昌
恛	心回
洣	水米
邂	辵角刀牛
繢	糸臾貝
廾	廾
蓍	艸耂日
榀	木三口
檁	木㐭禾
榍	木尸小月
磔	石舛木
嗏	口艸人木
峇	山合
岌	山及
笢	竹民
皛	三白
舨	舟反
亶	㐭旦
癯	疒目目隹
焼	火屮兀
滈	水高
滝	水立电
褟	衤日羽
嫿	女畫
菥	艸木斤
菖	艸昌
栳	木耂
杌	木兀
椥	木矢口
桴	木爪子
螓	虫廾禾
跽	足己心
筅	竹先
逭	辵宀㠯
廻	廴回
弖	弓一
紿	糸台
嚭	壴口不口
赧	赤卩又
鋆	土勹二金
贄	幸丮貝
鬘	長彡冃四又
騶	馬勹屮勹屮
葺	艸口耳
莛	艸廴𡈼
酔	酉九十
検	木僉
呺	口口丂
敤	果攴
幛	巾章
剴	山豆刀
籜	竹扌睪
働	人重力
舥	舟巴
腙	月宀示
斎	齊示
汩	水圍一
禤	示四羽
劦	三力
妺	女末
媔	女面
胬	女又肉
儿	儿
玷	王占
琲	王非
萠	艸朋
蔇	艸艮旡
栖	木西
柝	木斥
砵	石本
嚅	口雨而
箝	竹扌甘
凭	人壬几
佝	人勹口
徥	行是
疔	疒丁
堍	土兔
埌	土良
髑	骨蜀
穏	禾爪彐心
僤	人單
仫	人丿厶
傯	人囪心
颮	風勹巳
韵	音勹二
翫	羽白元
彅	弓前刀
嬬	女雨而
馹	馬日
檎	木禽
踊	足甬
魡	魚勺
懨	心厂日月犬
澔	水白告
渢	水風
幇	圭寸巾
髭	長彡止匕
珎	王尔
虆	艸三田糸
槇	木真
囲	圍井
暀	日行主
儚	人艸四冂夕
傖	人倉
偝	人北月
糴	人米羽隹
鐔	金覃
肭	月内
狍	犬勹巳
匐	勹畐
謌	言可可
懐	心亠四衣
漖	水耂子攴
獣	⺍田一口犬
鼡	⺍几扌
濆	水屮貝
戻	戶大
陲	阜垂
牁	爿可
繲	糸角刀牛
坻	土氐
掟	扌宀正
嚏	口十冂田疋
佻	人兆
敉	米攴
汸	水方
陬	阜耳又
驂	馬三厶人彡
悊	扌斤心
薫	艸重火
蕝	艸糸𠂊巴
厎	厂氐
覘	占見
呰	止匕口
嗞	口䒑幺幺
鸀	蜀鳥
甡	生生
盥	𦥑水皿
躱	身乃木
仳	人比
欷	爻巾欠
鍜	金叚
魼	魚去
斉	齊
慬	心堇
営	⺍冂呂
栄	⺍冂木
汔	水乞
乀	丶
荽	艸爪女
桎	木至
蜞	虫其
蛸	虫小月
盱	目于
溷	水圍豕
袈	加衣
覡	工从見
攖	扌貝貝女
蝲	虫束刀
蝂	虫片反
囷	圍禾
趼	足一廾
嘽	口單
簭	竹工从公
鐖	金幺幺戈人
脕	月免
夐	𠂊内目夂
弚	八丨弓
澥	水角刀牛
扃	戶冂口
拏	女又手
耜	耒㠯
茛	艸艮
叶	口十
喰	口食
眚	生目
徭	行肉缶
胴	月同
觚	角瓜
繯	糸睘
壢	土厂禾禾止
蒎	艸水𠂢
靉	雨云愛
樋	木辵甬
鵪	大电鳥
蝰	虫大圭
氅	尚攴毛
晩	日免
黥	黑京
嵫	山䒑幺幺
贔	三貝
倶	人具
鰣	魚日寺
訐	言干
旂	㫃斤
斿	㫃子
邶	北邑
犖	火火冂牛
溦	水山一儿攴
窞	穴𠂊臼
紒	糸介
堞	土世木
聒	耳舌
蹂	足矛木
笂	竹丮
箹	竹糸勺
僬	人隹火
猙	犬爪尹
鰈	魚世木
袱	衤人犬
遴	辵米舛
纊	糸广黃
紼	糸弗
壚	土虎田皿
愨	壳殳心
駙	馬人寸
蘀	艸扌睪
蓐	艸辰寸
蔀	艸咅邑
軽	車又土
嘂	四口丩
巋	山㠯止帚
嵂	山行聿
徴	行山王攴
郤	谷邑
鏝	金冃四又
瘕	疒叚
滒	水可可
叕	叕
璫	王尚田
莃	艸爻巾
樻	木臾貝
嗾	口㫃矢
舄	舄
疸	疒旦
悝	心里
殂	歹且
迋	辵王
墼	車凵殳土
楀	木禹
奭	大百百
臸	至至
蜩	虫周
鴞	口丂鳥
黼	业巾⺍甫
嵖	山查
睺	目人龴矢
侀	人一廾刀
鋱	金弋心
鉯	金厶人
塱	良月土
頖	半頁
憍	心丿大高
悾	心穴工
忸	心丑
滆	水鬲
浭	水更
潵	水散
洊	水才子
浥	水邑
迡	辵尸匕
妁	女勺
毐	士母
捩	扌戶犬
奓	大多
哫	口足
鯓	魚身
渼	水羊大
紘	糸𠂇厶
豌	豆宀夕卩
駘	馬台
頼	束頁
蹚	足尚土
躊	足壽
嚜	口黑土
毘	田比
嶆	山曹
簬	竹足各
犵	犬乞
鮱	魚耂
讞	言虎鬲犬
剤	齊刀
竑	立𠂇厶
瀡	水阜辵𠂇工月
顁	宀正頁
衯	衤分
襞	尸口辛衣
姉	女巿
彖	彑豕
姙	女人壬
帑	女又巾
髹	長彡人木
揶	扌耳邑
呬	口四
瞌	目去皿
鼯	鼠吾
猱	犬矛木
縻	麻糸
怦	心平
忡	心中
渋	水止⺍
洫	水血
濘	水宀心皿丁
榖	壳木殳
